"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"2","0.004035000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"3","0.008008000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"4","0.011945000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"5","0.016099000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"6","0.020092000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"7","0.024107000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"8","0.028305000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"9","0.032199000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"10","0.036382000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"11","0.040329000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"12","0.044524000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"13","0.048609000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"14","0.052669000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"15","0.056762000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"16","0.060616000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"17","0.064782000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"18","0.068890000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"19","0.072881000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"20","0.077018000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"21","0.081022000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"22","0.085140000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"23","0.089288000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"24","0.093405000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"25","0.097435000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"26","0.101357000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"27","0.105458000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"28","0.109549000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"29","0.113655000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"30","0.117630000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"31","0.121775000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"32","0.125737000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"33","0.486959000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (no response found!)"
"34","0.491326000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=1, hop limit=63 (reply in 36)"
"35","0.492101000","","","IEEE 802.15.4","5","Ack"
"36","0.515788000","aaaa::212:4b00:41e:afc6","aaaa::1","ICMPv6","102","Echo (ping) reply id=0x4b92, seq=1, hop limit=64 (request in 34)"
"37","0.516424000","","","IEEE 802.15.4","5","Ack"
"38","1.000819000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"39","1.004864000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"40","1.008838000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"41","1.012940000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"42","1.016985000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"43","1.020705000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"44","1.024718000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"45","1.028828000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"46","1.032801000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"47","1.036927000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"48","1.040896000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"49","1.045021000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
"50","1.048997000","aaaa::1","aaaa::212:4b00:41e:afc6","ICMPv6","102","Echo (ping) request id=0x4b92, seq=2, hop limit=63 (no response found!)"
